السؤال,الإجابة
ما هو مترو الرياض؟,"هو نظام نقل عام متطور في العاصمة السعودية، يتكون من 6 خطوط رئيسية و85 محطة تغطي معظم أنحاء المدينة."
كم عدد خطوط مترو الرياض؟,"يتكون من 6 خطوط رئيسية تمتد لأكثر من 176 كم، لتربط الأحياء السكنية والمراكز التجارية."
متى تم افتتاح مترو الرياض؟,تم افتتاحه رسميًا عام 2024 ليكون أحد أكبر مشاريع النقل في الشرق الأوسط.
ما الهدف من إنشاء مترو الرياض؟,"الهدف هو تقليل الازدحام المروري، وتحسين جودة الحياة، وتوفير وسيلة نقل آمنة ومريحة."
ما هي ساعات عمل المترو اليومية؟,من الساعة 6:00 صباحًا حتى 00:00 (منتصف الليل) طوال أيام الأسبوع.
هل يعمل المترو في عطلة نهاية الأسبوع؟,"نعم، لكن يبدأ التشغيل يوم الجمعة من الساعة 2:00 ظهرًا حتى 00:00 (منتصف الليل)."
كم يبلغ متوسط زمن الانتظار بين القطارات؟,يتراوح بين 3 إلى 7 دقائق في أوقات الذروة.
هل المترو آمن للعائلات؟,"نعم، يحتوي على مقصورات مخصصة للعائلات وأخرى للأفراد مع كاميرات مراقبة."
كم تبلغ تكلفة التذكرة الواحدة؟,تبدأ الأسعار من 4 ريالات وتزداد حسب عدد المحطات المقطوعة.
هل يوجد تطبيق خاص بمترو الرياض؟,"نعم، يمكن تحميل تطبيق مترو الرياض لحجز التذاكر وتتبع الرحلات."
ما هو الخط الأزرق؟,هو الخط الأول ويمتد من محطة العليا إلى حطين مرورًا بمركز الملك عبدالله المالي.
ما هو الخط الأحمر؟,هو الخط الثاني ويمتد من محطة صلاح الدين حتى الرياض الجديدة.
ما هو الخط البرتقالي؟,هو الخط الثالث ويمتد من طريق المدينة المنورة إلى طريق الأمير سعد بن عبدالرحمن الأول.
ما هو الخط الأصفر؟,هو الخط الرابع ويربط مطار الملك خالد الدولي بالملك عبدالله المالي.
ما هو الخط الأخضر؟,هو الخط الخامس ويغطي المنطقة الجنوبية من الرياض.
ما هو الخط البنفسجي؟,هو الخط السادس ويربط بين حي السويدي وحي السلام.
كم عدد المحطات في الخط الأزرق؟,يحتوي على 25 محطة تربط شمال الرياض بجنوبها.
كم عدد المحطات في الخط الأحمر؟,يضم 15 محطة تغطي شرق وغرب المدينة.
كم تستغرق الرحلة الكاملة على الخط الأزرق؟,تستغرق الرحلة الكاملة حوالي 40 دقيقة من البداية للنهاية.
هل جميع الخطوط متصلة ببعضها؟,"نعم، يوجد نقاط تقاطع بين معظم الخطوط لتسهيل التنقل بين المحطات."
أين تقع محطة العليا؟,تقع في قلب الرياض على الخط الأزرق وتعد من أهم المحطات المركزية.
ما مواعيد تشغيل محطة العليا؟,تبدأ من الساعة 6:00 صباحًا حتى 00:00 (منتصف الليل).
هل محطة العليا تحتوي على مواقف سيارات؟,"نعم، تحتوي على مواقف واسعة للسيارات."
أين تقع محطة المتحف الوطني؟,تقع على الخط الأحمر بالقرب من حي الديرة ومتحف الرياض الوطني.
متى تبدأ أول رحلة من محطة المتحف الوطني؟,الساعة 6:00 صباحًا.
ما موعد آخر قطار من محطة المتحف الوطني؟,يغادر الساعة 00:00 (منتصف الليل).
أين تقع محطة KAFD؟,تقع في مركز الملك عبدالله المالي وتعد من المحطات الفاخرة.
هل محطة KAFD متصلة بخطوط أخرى؟,"نعم، تتصل بالخط الأزرق والأصفر."
أين تقع محطة المطار؟,تقع في مطار الملك خالد الدولي على الخط الأصفر.
